source,target,weight
115240,675939,1
586124,671574,1
607549,119887,1
241238,631478,1
500619,521718,1
672038,673426,1
128196,128196,2
186971,561877,1
586119,548759,1
500425,682396,1
578506,528071,1
116452,680586,1
582181,667658,1
630120,60387,1
543994,543994,2
157699,499524,1
589629,675310,1
689889,508347,1
556918,545727,1
690068,55132,3
10705,690645,1
679293,245961,1
688846,567785,1
303562,633296,1
678231,499212,4
548930,52261,1
608411,233529,1
504781,691617,1
231977,666995,1
687495,500315,1
673302,682456,1
577783,653483,1
238954,510064,2
85820,560263,1
15938,679470,1
56148,532982,1
20700,675359,3
170029,151141,1
144701,238226,3
222120,686613,2
689354,580812,1
116809,59069,1
528633,529595,1
556904,337826,1
33712,555732,1
580182,635302,4
43257,691070,1
156577,121554,1
52997,508347,1
310553,672955,1
169493,634552,1
510529,120889,1
601629,216582,1
676543,688894,1
682456,116028,1
500970,684715,1
631880,517614,2
674236,590087,1
692108,690140,1
526993,159867,1
149613,124765,2
554136,603808,1
691256,149514,3
640868,550195,1
525222,527059,1
77017,518215,1
607903,666154,1
245243,670829,1
111022,22162,1
668998,559659,1
690645,677375,1
520558,680762,1
16435,685443,1
575686,2422,1
74331,588755,1
577817,580731,1
499993,689178,1
608649,559985,1
218517,512069,1
672342,686484,1
686372,8570,1
636938,578245,1
107341,665847,1
574288,570951,1
500445,502069,1
684182,688621,2
559644,687521,1
557238,182639,1
211794,677647,1
181647,686961,1
677367,932,1
182564,60187,1
675939,72337,1
674106,206061,1
675939,691617,2
35038,691815,1
607508,548555,1
5457,668509,1
634042,679302,1
158488,640297,2
635828,671476,1
608797,521721,1
239484,333436,1
500255,165633,1
557814,499631,1
169493,79597,1
673426,634289,1
550143,208696,1
579958,670829,1
103996,207112,1
500927,569984,4
114435,637789,1
1782,691759,1
519695,564174,1
674106,525714,1
633359,578965,1
652752,608398,1
32008,564156,1
608649,18492,1
106927,538045,1
192935,586400,1
531196,145219,1
32887,547417,1
65938,637288,1
1782,107237,1
686053,239194,2
515788,547417,2
691809,121909,1
589996,690726,1
50954,690138,1
239890,678567,1
188754,516173,1
583261,692254,1
185213,583394,1
182345,692105,5
173780,654650,1
686053,679302,1
686949,691675,1
525349,690019,1
677943,547904,1
581613,499749,2
681404,687901,1
589057,678879,1
674016,520416,1
503926,18537,1
194388,686185,1
633296,556485,3
684803,677004,1
207353,30457,2
93115,509053,1
588069,546833,2
538779,668509,1
188495,575173,2
564973,80635,1
175580,152470,2
185213,680172,1
630061,683731,4
37016,177299,1
222971,607903,1
691617,589748,1
500307,72611,2
19575,608389,1
635350,573087,1
510064,238954,1
587068,575211,1
586119,553917,1
652752,176334,1
552781,687341,1
64124,63819,1
26373,500128,1
575686,530546,2
690823,544942,1
32441,56618,1
602252,206596,1
677004,87685,1
586524,184943,1
567477,651370,1
21871,21915,1
654549,519657,1
1782,71141,1
160537,75113,1
176409,675721,1
117560,545556,1
558955,176914,1
7346,515668,1
520708,231057,1
691293,499566,1
684047,10992,1
163831,31295,1
603183,117313,2
576437,549961,4
55197,55511,1
41348,152810,1
23064,82260,1
513008,51414,1
516173,692024,1
690199,195373,1
178602,30174,1
182676,509054,1
149514,655430,1
666568,239965,1
530727,44435,1
688289,690190,1
606953,578308,2
35334,239530,1
77640,540551,1
134489,687471,1
601629,605953,1
688820,583656,1
679326,589021,1
689497,683244,1
561652,690645,2
515725,582175,1
515066,513369,1
518122,604103,1
106004,239484,1
636938,575173,3
131977,566508,1
143837,542731,1
22072,175922,1
105454,689497,1
561082,190517,1
552674,651779,1
589777,563778,2
671476,499300,1
235419,50231,1
529638,160990,1
674865,183026,1
552604,505600,2
676101,502798,1
534149,151819,1
671900,170029,1
679843,571120,1
233834,587830,1
54343,607908,4
629450,601244,1
588107,206852,1
674397,105566,1
685775,513008,1
14647,564156,1
556204,10705,1
687653,55475,1
500191,520029,1
168570,516017,1
556918,691776,1
634042,507473,1
507190,18537,1
632182,633260,2
204179,575657,3
500600,535204,1
543760,635325,2
533552,519140,1
516664,192935,1
509276,590134,2
331374,566570,1
212894,59242,2
238226,603682,1
515994,575173,1
533926,568800,1
144774,20373,1
533159,27470,1
58621,219180,1
561652,654549,2
74258,202438,1
212938,74674,1
576120,669726,1
583921,575802,1
526006,652031,1
541767,569933,1
688877,500116,1
527744,551427,1
501871,631199,1
523951,533089,1
541708,579244,2
230094,14647,1
537794,503180,1
678038,688379,1
677375,688289,2
10197,600369,2
579307,581049,1
629747,605953,2
505596,677375,1
182564,691293,1
236360,21901,1
185230,519836,1
14647,165725,1
691053,607241,1
182351,162759,1
538384,500699,1
671995,579439,1
115685,499428,1
687397,608925,1
634585,176914,1
290369,139031,1
106004,545211,1
513107,4551,1
201113,524736,1
688899,673838,2
30980,72656,2
503920,513977,4
55475,3466,1
10434,587226,2
680772,112030,1
638781,566570,3
501396,235438,1
167106,37330,1
582531,577993,1
